Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,55.320000,56.130001,55.290001,56.000000,56.000000,3053300
2023-05-01,55.820000,56.910000,55.790001,56.840000,56.840000,3984300
2023-05-02,56.840000,57.680000,56.389999,57.540001,57.540001,4375100
2023-05-03,57.779999,58.799999,57.549999,58.360001,58.360001,6350300
2023-05-04,58.580002,58.730000,57.610001,57.820000,57.820000,7627500
2023-05-05,59.250000,60.470001,59.080002,59.709999,59.709999,8246300
2023-05-08,59.410000,59.410000,57.799999,59.040001,59.040001,5761300
2023-05-09,58.970001,59.619999,58.450001,58.689999,58.689999,5574000
2023-05-10,58.720001,59.410000,58.480000,59.110001,59.110001,4261100
2023-05-11,59.259998,59.310001,58.619999,59.279999,59.279999,3718100
2023-05-12,59.200001,59.700001,59.200001,59.540001,59.540001,4105500
2023-05-15,59.330002,59.869999,59.080002,59.720001,59.720001,2739700
2023-05-16,59.689999,60.119999,59.230000,59.939999,59.939999,3015200
2023-05-17,59.770000,59.900002,59.090000,59.650002,59.650002,4241500
2023-05-18,59.430000,59.919998,59.270000,59.849998,59.849998,3532400
2023-05-19,60.240002,60.250000,59.310001,59.680000,59.680000,6867200
2023-05-22,60.000000,60.230000,59.049999,59.119999,59.119999,3980100
2023-05-23,59.049999,59.049999,57.669998,57.939999,57.939999,5003200
2023-05-24,57.849998,57.919998,57.480000,57.570000,57.570000,4350200
2023-05-25,57.209999,57.590000,56.810001,57.330002,57.330002,4280100
2023-05-26,57.330002,57.869999,57.150002,57.610001,57.610001,3596500
2023-05-30,57.549999,57.889999,57.320000,57.750000,57.750000,3860400
2023-05-31,58.130001,58.730000,57.820000,58.619999,58.619999,7211400
2023-06-01,58.570000,59.560001,58.560001,59.360001,59.360001,4084700
2023-06-02,59.020000,59.810001,59.020000,59.480000,59.480000,4240900
2023-06-05,59.480000,59.810001,59.049999,59.259998,59.259998,3138100
2023-06-06,59.209999,59.369999,58.070000,58.330002,58.330002,3153600
2023-06-07,58.000000,58.320000,56.880001,56.900002,56.900002,5507200
2023-06-08,56.610001,57.590000,56.490002,57.529999,57.529999,3208100
2023-06-09,57.330002,57.549999,57.009998,57.250000,57.250000,4358600
2023-06-12,57.389999,58.000000,56.889999,57.910000,57.910000,4068700
2023-06-13,58.160000,58.310001,57.860001,58.180000,58.180000,2711300
2023-06-14,58.340000,58.560001,57.889999,58.480000,58.480000,2981700
2023-06-15,58.639999,58.970001,58.310001,58.799999,58.799999,3789600
2023-06-16,59.040001,59.369999,58.360001,58.450001,58.450001,7692300
2023-06-20,58.599998,58.980000,58.230000,58.360001,58.360001,2895000
2023-06-21,58.360001,58.830002,57.939999,58.410000,58.410000,2840000
2023-06-22,58.700001,59.810001,58.689999,59.689999,59.689999,2906700
2023-06-23,59.799999,60.029999,58.759998,59.110001,59.110001,6838800
2023-06-26,58.910000,58.980000,57.669998,57.709999,57.709999,5482900
2023-06-27,57.889999,58.369999,57.639999,58.130001,58.130001,3156000
2023-06-28,57.970001,58.009998,57.020000,57.150002,57.150002,4188900
2023-06-29,57.000000,57.919998,56.810001,57.419998,57.419998,4356100
2023-06-30,57.880001,58.000000,57.230000,57.439999,57.439999,4124600
2023-07-03,57.000000,57.119999,56.490002,56.950001,56.950001,2650800
2023-07-05,57.020000,57.330002,56.709999,56.970001,56.970001,4582500
2023-07-06,56.549999,57.020000,56.509998,56.610001,56.610001,5591500
2023-07-07,56.599998,56.669998,55.799999,55.869999,55.869999,5366100
2023-07-10,56.150002,57.009998,56.070000,56.380001,56.380001,4246400
2023-07-11,56.330002,56.520000,55.279999,55.529999,55.529999,5329500
2023-07-12,56.000000,56.490002,55.709999,56.209999,56.209999,5525700
2023-07-13,56.240002,56.849998,56.240002,56.740002,56.740002,3023500
2023-07-14,56.730000,57.380001,56.590000,57.310001,57.310001,3069000
2023-07-17,57.060001,57.840000,57.000000,57.290001,57.290001,4087900
2023-07-18,57.270000,57.400002,56.000000,56.549999,56.549999,5032000
2023-07-19,56.560001,57.470001,56.549999,57.250000,57.250000,4206300
2023-07-20,57.209999,57.759998,57.080002,57.580002,57.580002,4900900
2023-07-21,57.910000,58.439999,57.910000,58.099998,58.099998,12346500
2023-07-24,58.250000,58.430000,57.860001,58.380001,58.380001,4062500
2023-07-25,58.279999,58.779999,58.049999,58.080002,58.080002,3756300
2023-07-26,57.880001,58.259998,57.740002,58.169998,58.169998,4622700
2023-07-27,58.520000,58.639999,57.500000,57.560001,57.560001,3427400
2023-07-28,58.220001,58.430000,57.950001,58.150002,58.150002,3069100
2023-07-31,57.880001,58.029999,57.049999,57.490002,57.490002,3736000
2023-08-01,57.599998,57.959999,57.439999,57.709999,57.709999,3030800
2023-08-02,57.490002,57.970001,57.299999,57.630001,57.630001,4830300
2023-08-03,57.439999,58.299999,57.410000,57.980000,57.980000,7113000
2023-08-04,56.900002,57.090000,54.990002,55.110001,55.110001,9743900
2023-08-07,56.060001,58.560001,55.720001,58.490002,58.490002,8387200
2023-08-08,58.439999,58.610001,56.959999,57.410000,57.410000,4825300
2023-08-09,57.639999,57.740002,57.020000,57.509998,57.509998,4687200
2023-08-10,58.000000,58.820000,57.840000,58.099998,58.099998,3698500
2023-08-11,58.389999,58.470001,57.919998,58.180000,58.180000,2381200
2023-08-14,58.500000,59.240002,58.169998,59.009998,59.009998,3904700
2023-08-15,59.000000,59.230000,58.150002,58.209999,58.209999,2949300
2023-08-16,58.540001,58.990002,58.240002,58.299999,58.299999,2776100
2023-08-17,58.290001,58.330002,57.200001,57.250000,57.250000,3542500
2023-08-18,57.000000,57.560001,56.790001,57.360001,57.360001,3319500
