Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,52.200001,55.599998,51.599998,53.700001,53.700001,2101510
2023-04-28,54.599998,55.400002,53.400002,55.000000,55.000000,1897560
2023-05-01,55.299999,56.900002,53.799999,56.500000,56.500000,2034120
2023-05-02,56.700001,57.400002,53.200001,55.000000,55.000000,1623970
2023-05-03,54.099998,58.200001,54.099998,57.400002,57.400002,2505720
2023-05-04,58.400002,60.500000,57.200001,59.200001,59.200001,2500750
2023-05-05,61.000000,61.099998,56.599998,58.900002,58.900002,2847930
2023-05-08,58.299999,60.299999,57.599998,59.000000,59.000000,1703610
2023-05-09,58.099998,59.500000,55.299999,55.400002,55.400002,1877280
2023-05-10,56.000000,56.099998,54.000000,54.900002,54.900002,1456840
2023-05-11,54.200001,54.799999,51.900002,53.400002,53.400002,1389160
2023-05-12,52.700001,53.200001,50.799999,52.000000,52.000000,1339470
2023-05-15,51.000000,52.400002,50.299999,51.400002,51.400002,1211510
2023-05-16,51.000000,51.400002,49.400002,49.599998,49.599998,1191100
2023-05-17,49.700001,51.500000,48.700001,51.000000,51.000000,1393770
2023-05-18,50.799999,51.599998,49.900002,50.700001,50.700001,1069150
2023-05-19,50.900002,50.900002,49.599998,50.299999,50.299999,1068200
2023-05-22,50.299999,52.099998,49.599998,51.200001,51.200001,1400930
2023-05-23,50.900002,51.400002,49.799999,50.299999,50.299999,1219730
2023-05-24,50.000000,50.799999,48.000000,48.799999,48.799999,1708580
2023-05-25,49.299999,49.299999,46.200001,47.000000,47.000000,1688410
2023-05-26,47.500000,48.500000,46.299999,46.400002,46.400002,1176990
2023-05-30,47.400002,47.799999,45.000000,46.299999,46.299999,1390050
2023-05-31,45.799999,46.099998,43.799999,45.000000,45.000000,1337540
2023-06-01,45.099998,46.599998,44.700001,45.500000,45.500000,1243100
2023-06-02,46.299999,46.700001,45.299999,45.500000,45.500000,947790
2023-06-05,46.500000,46.700001,45.500000,46.299999,46.299999,771720
2023-06-06,45.900002,47.700001,45.500000,46.400002,46.400002,1513500
2023-06-07,47.599998,47.599998,46.099998,47.299999,47.299999,1514850
2023-06-08,46.700001,47.299999,45.200001,46.799999,46.799999,1571480
2023-06-09,46.500000,48.200001,46.500000,47.700001,47.700001,1485530
2023-06-12,47.799999,48.799999,47.400002,47.900002,47.900002,1032150
2023-06-13,48.599998,51.500000,48.200001,50.000000,50.000000,2560280
2023-06-14,50.700001,50.799999,48.200001,49.000000,49.000000,1554870
2023-06-15,48.500000,48.500000,46.799999,47.599998,47.599998,1610360
2023-06-16,48.200001,48.299999,46.700001,47.000000,47.000000,1876430
2023-06-20,46.900002,47.299999,44.900002,45.900002,45.900002,1645020
2023-06-21,46.000000,46.400002,45.000000,45.299999,45.299999,1302690
2023-06-22,42.500000,42.799999,40.700001,41.700001,41.700001,3834310
2023-06-23,41.200001,41.500000,40.099998,40.099998,40.099998,1457570
2023-06-26,40.799999,41.299999,40.099998,40.299999,40.299999,1410250
2023-06-27,40.799999,41.500000,40.099998,41.000000,41.000000,1594270
2023-06-28,40.900002,45.500000,40.799999,44.099998,44.099998,2606440
2023-06-29,43.599998,44.299999,41.799999,44.200001,44.200001,2828460
2023-06-30,43.299999,44.000000,42.500000,44.000000,44.000000,1735520
2023-07-03,43.900002,46.000000,43.200001,44.400002,44.400002,1608420
2023-07-05,44.400002,44.400002,42.200001,42.500000,42.500000,2046840
2023-07-06,42.200001,43.299999,41.900002,42.900002,42.900002,2065760
2023-07-07,43.099998,43.599998,42.000000,42.000000,42.000000,1549880
2023-07-10,41.799999,42.900002,41.700001,42.400002,42.400002,2346770
2023-07-11,43.000000,44.400002,42.500000,43.900002,43.900002,2329400
2023-07-12,44.299999,44.700001,43.500000,44.000000,44.000000,1884760
2023-07-13,44.299999,45.200001,43.900002,44.400002,44.400002,2139150
