Date,Open,High,Low,Close,Adj Close,Volume
2023-04-27,50.259998,50.646667,50.259998,50.459999,49.736225,12861000
2023-04-28,50.430000,50.723331,50.060001,50.323334,49.601517,14088600
2023-05-01,50.346668,50.846668,50.310001,50.529999,49.805222,11409600
2023-05-02,50.490002,50.496666,49.820000,50.393333,49.670517,11329500
2023-05-03,50.520000,50.700001,50.090000,50.206669,49.486530,12334500
2023-05-04,50.183334,50.330002,49.830002,50.156666,49.625042,14011200
2023-05-05,50.099998,50.669998,49.943333,50.590000,50.053783,14556000
2023-05-08,50.423332,50.983334,50.353333,50.906666,50.367092,14926200
2023-05-09,50.906666,51.060001,50.779999,50.993332,50.452839,15209700
2023-05-10,51.230000,51.450001,50.410000,50.849998,50.311024,15827700
2023-05-11,50.849998,51.090000,50.666668,51.040001,50.499016,11926800
2023-05-12,51.200001,51.356667,50.903332,51.023335,50.482521,16119300
2023-05-15,51.166668,51.283333,50.459999,50.626667,50.090057,16113900
2023-05-16,50.283333,50.509998,49.856667,49.926666,49.397480,15512100
2023-05-17,50.380001,50.383331,49.570000,49.843334,49.315029,26985900
2023-05-18,50.599998,51.430000,49.983334,50.490002,49.954845,46768500
2023-05-19,50.466667,50.486668,49.703335,49.970001,49.440357,27594000
2023-05-22,49.900002,50.026669,49.430000,49.529999,49.005016,16117800
2023-05-23,49.336666,49.619999,49.026669,49.436668,48.912674,16302300
2023-05-24,49.503334,49.513332,48.766666,49.209999,48.688408,20515200
2023-05-25,48.959999,49.146667,48.363335,48.720001,48.203606,21299100
2023-05-26,48.566666,48.939999,48.490002,48.806667,48.289356,15720900
2023-05-30,48.766666,49.096668,48.533333,48.686668,48.170628,15742500
2023-05-31,48.473331,49.103333,48.336666,48.956669,48.437763,30130800
2023-06-01,48.736668,49.299999,48.646667,49.136665,48.615852,20239200
2023-06-02,49.073334,49.669998,49.033333,49.606667,49.080872,19178100
2023-06-05,49.790001,50.416668,49.790001,49.933334,49.404076,15553200
2023-06-06,49.900002,50.063332,49.503334,49.926666,49.397480,15015600
2023-06-07,49.750000,50.119999,49.680000,50.000000,49.470036,24256500
2023-06-08,50.130001,50.810001,49.930000,50.723331,50.185699,18873000
2023-06-09,50.720001,51.240002,50.533333,51.029999,50.489117,15603900
